日期,時間,狀態
2008年01月08日,07:35pm,新月
2008年01月22日,09:35pm,滿月
2008年02月07日,11:40am,新月
2008年02月21日,11:34am,滿月
2008年03月08日,01:13am,新月
2008年03月22日,02:41am,滿月
2008年04月06日,11:51am,新月
2008年04月20日,06:26pm,滿月
2008年05月05日,08:17pm,新月
2008年05月20日,10:11am,滿月
2008年06月04日,03:23am,新月
2008年06月19日,01:30am,滿月
2008年07月03日,10:21am,新月
2008年07月18日,03:56pm,滿月
2008年08月01日,06:14pm,新月
2008年08月17日,05:13am,滿月
2008年08月31日,04:00am,新月
2008年09月15日,05:09pm,滿月
2008年09月29日,04:15pm,新月
2008年10月15日,04:00am,滿月
2008年10月29日,07:15am,新月
2008年11月13日,02:15pm,滿月
2008年11月28日,12:54am,新月
2008年12月13日,12:37am,滿月
2008年12月27日,08:22pm,新月
2009年01月11日,11:28am,滿月
2009年01月26日,03:53pm,新月
2009年02月09日,10:49pm,滿月
2009年02月25日,09:31am,新月
2009年03月11日,10:41am,滿月
2009年03月27日,12:05am,新月
2009年04月09日,10:56pm,滿月
2009年04月25日,11:18am,新月
2009年05月09日,12:04pm,滿月
2009年05月24日,08:09pm,新月
2009年06月08日,02:12am,滿月
2009年06月23日,03:34am,新月
2009年07月07日,05:21pm,滿月
2009年07月22日,10:35am,新月
2009年08月06日,08:53am,滿月
2009年08月20日,06:02pm,新月
2009年09月05日,12:02am,滿月
2009年09月19日,02:45am,新月
2009年10月04日,02:06pm,滿月
2009年10月18日,01:36pm,新月
2009年11月03日,03:12am,滿月
2009年11月17日,03:15am,新月
2009年12月02日,03:27pm,滿月
2009年12月16日,08:03pm,新月
2010年01月01日,03:11am,滿月
2010年01月15日,03:12pm,新月
2010年01月30日,02:16pm,滿月
2010年02月14日,10:50am,新月
2010年03月01日,12:37am,滿月
2010年03月16日,04:59am,新月
2010年03月30日,10:28am,滿月
2010年04月14日,08:27pm,新月
2010年04月28日,08:20pm,滿月
2010年05月14日,09:00am,新月
2010年05月28日,07:10am,滿月
2010年06月12日,07:12pm,新月
2010年06月26日,07:32pm,滿月
2010年07月12日,03:39am,新月
2010年07月26日,09:38am,滿月
2010年08月10日,11:06am,新月
2010年08月25日,01:04am,滿月
2010年09月08日,06:29pm,新月
2010年09月23日,05:15pm,滿月
2010年10月08日,02:45am,新月
2010年10月23日,09:33am,滿月
2010年11月06日,12:55pm,新月
2010年11月22日,01:26am,滿月
2010年12月06日,01:36am,新月
2010年12月21日,04:09pm,滿月
2011年01月04日,05:05pm,新月
2011年01月20日,05:18am,滿月
2011年02月03日,10:32am,新月
2011年02月18日,04:33pm,滿月
2011年03月05日,04:46am,新月
2011年03月20日,02:10am,滿月
2011年04月03日,10:32pm,新月
2011年04月18日,10:46am,滿月
2011年05月03日,02:48pm,新月
2011年05月17日,07:10pm,滿月
2011年06月02日,05:00am,新月
2011年06月16日,04:15am,滿月
2011年07月01日,04:50pm,新月
2011年07月15日,02:42pm,滿月
2011年07月31日,02:38am,新月
2011年08月14日,02:58am,滿月
2011年08月29日,11:01am,新月
2011年09月12日,05:28pm,滿月
2011年09月27日,07:07pm,新月
2011年10月12日,10:06am,滿月
2011年10月27日,03:56am,新月
2011年11月11日,04:15am,滿月
2011年11月25日,02:11pm,新月
2011年12月10日,10:35pm,滿月
2011年12月25日,02:07am,新月
2012年01月09日,03:26pm,滿月
2012年01月23日,03:42pm,新月
2012年02月08日,05:50am,滿月
2012年02月22日,06:37am,新月
2012年03月08日,05:36pm,滿月
2012年03月22日,10:37pm,新月
2012年04月07日,03:18am,滿月
2012年04月21日,03:19pm,新月
2012年05月06日,11:35am,滿月
2012年05月21日,07:46am,新月
2012年06月04日,07:12pm,滿月
2012年06月19日,11:01pm,新月
2012年07月04日,02:53am,滿月
2012年07月19日,12:20pm,新月
2012年08月02日,11:31am,滿月
2012年08月17日,11:54pm,新月
2012年08月31日,09:59pm,滿月
2012年09月16日,10:07am,新月
2012年09月30日,11:21am,滿月
2012年10月15日,08:00pm,新月
2012年10月30日,03:50am,滿月
2012年11月14日,06:07am,新月
2012年11月28日,10:45pm,滿月
2012年12月13日,04:41pm,新月
2012年12月28日,06:19pm,滿月
2013年01月12日,03:44am,新月
2013年01月27日,12:35pm,滿月
2013年02月10日,03:23pm,新月
2013年02月26日,04:23am,滿月
2013年03月12日,03:53am,新月
2013年03月27日,05:24pm,滿月
2013年04月10日,05:38pm,新月
2013年04月26日,03:55am,滿月
2013年05月10日,08:30am,新月
2013年05月25日,12:22pm,滿月
2013年06月08日,11:56pm,新月
2013年06月23日,07:31pm,滿月
2013年07月08日,03:13pm,新月
2013年07月23日,02:16am,滿月
